================================================================================
KNOWN HOLDER ANALYSIS — By Combined Stakeweight (Free + Validator Stake)
Known entities: 2369  |  Source: known_holders.json + validator_stake_weight.json
================================================================================

--- TOP 100 KNOWN HOLDERS BY COMBINED WEIGHT (n=2369 total) ---
Name                               Free TAO     Stake TAO      Combined  HKs  Role
  TAO.app                                 0        32,951        32,951   22
  NorthTensor                             7        28,695        28,702    1
  Tensorplex Labs                         2        19,690        19,693    1
  Ary van der Touw                       11        19,633        19,644    7
  MUV                                     0         8,096         8,096   56
  Neural Internet                         1         7,893         7,894    2
  Cortex Foundαtion                       1         4,651         4,652    1
  (no identity)                           0         4,423         4,424   22
  Kooltek68                               0         2,433         2,434   59
  Astrid                                  6         1,810         1,816    1
  TaoStation                              0         1,801         1,801    1
  (no identity)                           0         1,524         1,525    1
  Kiln                                    3         1,074         1,077    1
  (no identity)                           4         1,062         1,066    1
  Tensor.Exchange                         0           713           713    1
  (no identity)                           0           542           543    1
  InfStones                               0           412           412    1

--- SUBNET OWNERS BY COMBINED WEIGHT (n=129) ---
Name                               Free TAO     Stake TAO      Combined  Role
-------------------------------------------------------------------------------------
  Rizzo (Insured)                         7        98,894        98,901  validator,sn_owner([20])
  Neural Internet                         1         7,893         7,894  validator,sn_owner([27])
  Owner51                             1,941             0         1,941  validator,sn_owner([51])
  (no identity)                       1,341           100         1,441  validator,sn_owner([97])
  Sportstensor                        1,403             0         1,403  validator,sn_owner([41])
  (no identity)                       1,126             0         1,126  validator,sn_owner([125])
  CliqueAI                              273             0           273  validator,sn_owner([83])
  Owner3                                206             0           206  sn_owner([3])
  grail                                  69            80           148  validator,sn_owner([81])
  (no identity)                         147             0           147  validator,sn_owner([101])
  Nepher Robotics                       111             0           111  validator,sn_owner([49])
  Owner30                               100             0           100  validator,sn_owner([30])
  (no identity)                          98             0            98  validator,sn_owner([100])
  const                                  91             0            91  validator,sn_owner([120])
  (no identity)                           1            88            89  validator,sn_owner([76])
  basilica                               76             0            76  validator,sn_owner([39])
  (no identity)                          56             0            56  validator,sn_owner([77])
  ShiftLayer                              2            49            51  validator,sn_owner([117])
  Owner56                                50             0            50  validator,sn_owner([56])
  Owner60                                40             0            40  validator,sn_owner([60])
  Yanez MIID                              0            35            35  validator,sn_owner([54])
  Luminar                                 2            30            31  validator,sn_owner([87])
  ReadyAI                                24             0            24  validator,sn_owner([33])
  ByteLeap                                0            23            23  validator,sn_owner([128])
  P.I.C                                   1            21            21  validator,sn_owner([92])
  (no identity)                          16             0            16  validator,sn_owner([127])
  (no identity)                          13             0            13  sn_owner([67])
  AlphaCore                               2             8            10  validator,sn_owner([66])
  Owner10                                10             0            10  validator,sn_owner([10])
  TaoLend                                 5             5            10  validator,sn_owner([116])

--- TOTALS ---
  Total free TAO (known entities):             14,759
  Total stake TAO (known entities):         5,407,513
  Total combined (known entities):          5,422,272

Note: stake_tao = sum of DelegateInfo.total_stake across all owned hotkeys.
      free_tao from System.Account.data.free at block ~7,738,261.
